DateKey,Date,Year,Quarter,Month,MonthName,MonthYear,Week,Day,DayOfWeek,IsWeekend,FiscalYear,Season,IsFestivalWindow
20220523,2022-05-23,2022,2,5,May,May-2022,21,23,Monday,False,FY23,Summer,False
20220524,2022-05-24,2022,2,5,May,May-2022,21,24,Tuesday,False,FY23,Summer,False
20220525,2022-05-25,2022,2,5,May,May-2022,21,25,Wednesday,False,FY23,Summer,False
20220526,2022-05-26,2022,2,5,May,May-2022,21,26,Thursday,False,FY23,Summer,False
20220527,2022-05-27,2022,2,5,May,May-2022,21,27,Friday,False,FY23,Summer,False
20220528,2022-05-28,2022,2,5,May,May-2022,21,28,Saturday,True,FY23,Summer,False
20220529,2022-05-29,2022,2,5,May,May-2022,21,29,Sunday,True,FY23,Summer,False
20220530,2022-05-30,2022,2,5,May,May-2022,22,30,Monday,False,FY23,Summer,False
20220531,2022-05-31,2022,2,5,May,May-2022,22,31,Tuesday,False,FY23,Summer,False
20220601,2022-06-01,2022,2,6,Jun,Jun-2022,22,1,Wednesday,False,FY23,Monsoon,False
20220602,2022-06-02,2022,2,6,Jun,Jun-2022,22,2,Thursday,False,FY23,Monsoon,False
20220603,2022-06-03,2022,2,6,Jun,Jun-2022,22,3,Friday,False,FY23,Monsoon,False
20220604,2022-06-04,2022,2,6,Jun,Jun-2022,22,4,Saturday,True,FY23,Monsoon,False
20220605,2022-06-05,2022,2,6,Jun,Jun-2022,22,5,Sunday,True,FY23,Monsoon,False
20220606,2022-06-06,2022,2,6,Jun,Jun-2022,23,6,Monday,False,FY23,Monsoon,False
20220607,2022-06-07,2022,2,6,Jun,Jun-2022,23,7,Tuesday,False,FY23,Monsoon,False
20220608,2022-06-08,2022,2,6,Jun,Jun-2022,23,8,Wednesday,False,FY23,Monsoon,False
20220609,2022-06-09,2022,2,6,Jun,Jun-2022,23,9,Thursday,False,FY23,Monsoon,False
20220610,2022-06-10,2022,2,6,Jun,Jun-2022,23,10,Friday,False,FY23,Monsoon,False
20220611,2022-06-11,2022,2,6,Jun,Jun-2022,23,11,Saturday,True,FY23,Monsoon,False
20220612,2022-06-12,2022,2,6,Jun,Jun-2022,23,12,Sunday,True,FY23,Monsoon,False
20220613,2022-06-13,2022,2,6,Jun,Jun-2022,24,13,Monday,False,FY23,Monsoon,False
20220614,2022-06-14,2022,2,6,Jun,Jun-2022,24,14,Tuesday,False,FY23,Monsoon,False
20220615,2022-06-15,2022,2,6,Jun,Jun-2022,24,15,Wednesday,False,FY23,Monsoon,False
20220616,2022-06-16,2022,2,6,Jun,Jun-2022,24,16,Thursday,False,FY23,Monsoon,False
20220617,2022-06-17,2022,2,6,Jun,Jun-2022,24,17,Friday,False,FY23,Monsoon,False
20220618,2022-06-18,2022,2,6,Jun,Jun-2022,24,18,Saturday,True,FY23,Monsoon,False
20220619,2022-06-19,2022,2,6,Jun,Jun-2022,24,19,Sunday,True,FY23,Monsoon,False
20220620,2022-06-20,2022,2,6,Jun,Jun-2022,25,20,Monday,False,FY23,Monsoon,False
20220621,2022-06-21,2022,2,6,Jun,Jun-2022,25,21,Tuesday,False,FY23,Monsoon,False
20220622,2022-06-22,2022,2,6,Jun,Jun-2022,25,22,Wednesday,False,FY23,Monsoon,False
20220623,2022-06-23,2022,2,6,Jun,Jun-2022,25,23,Thursday,False,FY23,Monsoon,False
